=== LOG START ===
GLOBAL | Product_7 vs Product_6 | Winner: Product_7 | 1000.0→1016.0 , 1000.0→984.0
USER User_2 | 1 vs 4 | Winner: 4 | 1031.9323408595196→1013.7388734970305 , 984.0→1002.1934673624892
GLOBAL | Product_3 vs Product_4 | Winner: Product_3 | 936.6402834710707→955.2818077875504 , 994.530090455196→975.8885661387163
USER User_2 | 3 vs 4 | Winner: 3 | 984.0676591404803→1000.901626980219 , 1002.1934673624892→985.3594995227504
GLOBAL | Product_4 vs Product_7 | Winner: Product_4 | 975.8885661387163→993.3492373195254 , 1007.6951962146492→990.2345250338401
USER User_2 | 4 vs 7 | Winner: 4 | 985.3594995227504→1002.0333207040826 , 1000.0→983.3261788186678
GLOBAL | Product_1 vs Product_8 | Winner: Product_1 | 1076.4787357181801→1090.1173731041374 , 1024.8251658658653→1011.1865284799081
USER User_2 | 1 vs 8 | Winner: 1 | 1013.7388734970305→1029.1065045684277 , 1000.0→984.6323689286027
GLOBAL | Product_7 vs Product_3 | Winner: Product_7 | 990.2345250338401→1004.6303012619506 , 955.2818077875504→940.8860315594399
USER User_2 | 7 vs 3 | Winner: 7 | 983.3261788186678→1000.1348684325022 , 1000.901626980219→984.0929373663846
GLOBAL | Product_2 vs Product_3 | Winner: Product_2 | 981.488327661836→995.6269885054967 , 940.8860315594399→926.7473707157792
USER User_2 | 2 vs 3 | Winner: 2 | 1000.0→1015.2679641189685 , 984.0929373663846→968.8249732474161
GLOBAL | Product_8 vs Product_6 | Winner: Product_8 | 1011.1865284799081→1025.8067386773455 , 981.15016726688→966.5299570694427
USER User_2 | 8 vs 6 | Winner: 8 | 984.6323689286027→1000.603247295395 , 984.0→968.0291216332076
GLOBAL | Product_3 vs Product_1 | Winner: Product_1 | 926.7473707157792→917.761360469948 , 1090.1173731041374→1099.1033833499687
USER User_2 | 3 vs 1 | Winner: 1 | 968.8249732474161→955.5735151171992 , 1029.1065045684277→1042.3579626986445
GLOBAL | Product_5 vs Product_1 | Winner: Product_1 | 997.1920333463224→985.7551013847973 , 1099.1033833499687→1110.540315311494
USER User_2 | 5 vs 1 | Winner: 1 | 1016.0→1001.2115057001386 , 1042.3579626986445→1057.146456998506
GLOBAL | Product_8 vs Product_1 | Winner: Product_8 | 1025.8067386773455→1045.6332968104246 , 1110.540315311494→1090.7137571784149
USER User_2 | 8 vs 1 | Winner: 8 | 1000.603247295395→1019.1844104505004 , 1057.146456998506→1038.5652938434007
GLOBAL | Product_5 vs Product_6 | Winner: Product_6 | 985.7551013847973→968.8706532827829 , 966.5299570694427→983.4144051714571
USER User_2 | 5 vs 6 | Winner: 6 | 1001.2115057001386→983.6880297596605 , 968.0291216332076→985.5525975736857
GLOBAL | Product_7 vs Product_8 | Winner: Product_7 | 1004.6303012619506→1022.5098411269446 , 1045.6332968104246→1027.7537569454307
USER User_2 | 7 vs 8 | Winner: 7 | 1000.1348684325022→1017.0112542357563 , 1019.1844104505004→1002.3080246472464
GLOBAL | Product_4 vs Product_5 | Winner: Product_5 | 993.3492373195254→976.2238184093428 , 968.8706532827829→985.9960721929655
USER User_2 | 4 vs 5 | Winner: 5 | 1002.0333207040826→985.1892731049486 , 983.6880297596605→1000.5320773587945
GLOBAL | Product_3 vs Product_2 | Winner: Product_3 | 917.761360469948→937.2883511142899 , 995.6269885054967→976.0999978611549
USER User_2 | 3 vs 2 | Winner: 3 | 955.5735151171992→974.2958110818391 , 1015.2679641189685→996.5456681543286
GLOBAL | Product_6 vs Product_4 | Winner: Product_4 | 983.4144051714571→967.0833136846508 , 976.2238184093428→992.5549098961492
USER User_2 | 6 vs 4 | Winner: 4 | 985.5525975736857→969.5358658696721 , 985.1892731049486→1001.2060048089622
GLOBAL | Product_3 vs Product_4 | Winner: Product_3 | 937.2883511142899→955.812218677171 , 992.5549098961492→974.031042333268
USER User_2 | 3 vs 4 | Winner: 3 | 974.2958110818391→991.5325990899124 , 1001.2060048089622→983.969216800889
GLOBAL | Product_1 vs Product_6 | Winner: Product_6 | 1090.7137571784149→1069.2490865862057 , 967.0833136846508→988.5479842768599
USER User_2 | 1 vs 6 | Winner: 6 | 1038.5652938434007→1019.4275502284567 , 969.5358658696721→988.6736094846161
GLOBAL | Product_5 vs Product_2 | Winner: Product_5 | 985.9960721929655→1001.5404643319583 , 976.0999978611549→960.555605722162
USER User_2 | 5 vs 2 | Winner: 5 | 1000.5320773587945→1016.348504486232 , 996.5456681543286→980.7292410268911
GLOBAL | Product_5 vs Product_1 | Winner: Product_1 | 1001.5404643319583→988.6196785082866 , 1069.2490865862057→1082.1698724098774
USER User_2 | 5 vs 1 | Winner: 1 | 1016.348504486232→1000.4902960707432 , 1019.4275502284567→1035.2857586439454
GLOBAL | Product_1 vs Product_3 | Winner: Product_3 | 1082.1698724098774→1060.5945585416052 , 955.812218677171→977.3875325454432
USER User_2 | 1 vs 3 | Winner: 3 | 1035.2857586439454→1017.2814353849491 , 991.5325990899124→1009.5369223489088
GLOBAL | Product_7 vs Product_1 | Winner: Product_7 | 1022.5098411269446→1040.2567160740546 , 1060.5945585416052→1042.8476835944953
USER User_2 | 7 vs 1 | Winner: 7 | 1017.0112542357563→1033.023696534979 , 1017.2814353849491→1001.2689930857264
GLOBAL | Product_6 vs Product_7 | Winner: Product_7 | 988.5479842768599→974.911831802823 , 1040.2567160740546→1053.8928685480914
USER User_2 | 6 vs 7 | Winner: 7 | 988.6736094846161→974.7049850389147 , 1033.023696534979→1046.9923209806805
GLOBAL | Product_3 vs Product_4 | Winner: Product_4 | 977.3875325454432→961.2329652674646 , 974.031042333268→990.1856096112466
USER User_2 | 3 vs 4 | Winner: 4 | 1009.5369223489088→992.3616068527467 , 983.969216800889→1001.144532297051
GLOBAL | Product_4 vs Product_2 | Winner: Product_4 | 990.1856096112466→1004.8243959520759 , 960.555605722162→945.9168193813327
USER User_2 | 4 vs 2 | Winner: 4 | 1001.144532297051→1016.2054539359398 , 980.7292410268911→965.6683193880024
GLOBAL | Product_1 vs Product_6 | Winner: Product_6 | 1042.8476835944953→1023.7583939509867 , 974.911831802823→994.0011214463316
USER User_2 | 1 vs 6 | Winner: 6 | 1001.2689930857264→984.0480534739546 , 974.7049850389147→991.9259246506865
GLOBAL | Product_6 vs Product_1 | Winner: Product_6 | 994.0011214463316→1011.3681534393835 , 1023.7583939509867→1006.3913619579348
USER User_2 | 6 vs 1 | Winner: 6 | 991.9259246506865→1007.5631974362725 , 984.0480534739546→968.4107806883686
GLOBAL | Product_2 vs Product_3 | Winner: Product_2 | 945.9168193813327→962.6216974168905 , 961.2329652674646→944.5280872319069
USER User_2 | 2 vs 3 | Winner: 2 | 965.6683193880024→982.8951777010797 , 992.3616068527467→975.1347485396694
GLOBAL | Product_6 vs Product_7 | Winner: Product_6 | 1011.3681534393835→1029.3167680609504 , 1053.8928685480914→1035.9442539265244
USER User_2 | 6 vs 7 | Winner: 6 | 1007.5631974362725→1025.37122042921 , 1046.9923209806805→1029.1842979877429
GLOBAL | Product_7 vs Product_6 | Winner: Product_6 | 1035.9442539265244→1019.639083936769 , 1029.3167680609504→1045.621938050706
USER User_2 | 7 vs 6 | Winner: 6 | 1029.1842979877429→1013.0087063267304 , 1025.37122042921→1041.5468120902226
GLOBAL | Product_8 vs Product_3 | Winner: Product_3 | 1027.7537569454307→1007.9927362202462 , 944.5280872319069→964.2891079570913
USER User_2 | 8 vs 3 | Winner: 3 | 1002.3080246472464→985.0591943465569 , 975.1347485396694→992.383578840359
GLOBAL | Product_2 vs Product_8 | Winner: Product_8 | 962.6216974168905→948.6993142879735 , 1007.9927362202462→1021.9151193491632
USER User_2 | 2 vs 8 | Winner: 8 | 982.8951777010797→966.9948330617598 , 985.0591943465569→1000.9595389858767
GLOBAL | Product_3 vs Product_5 | Winner: Product_5 | 964.2891079570913→949.407744115244 , 988.6196785082866→1003.501042350134
USER User_2 | 3 vs 5 | Winner: 5 | 992.383578840359→976.756839229815 , 1000.4902960707432→1016.1170356812871
GLOBAL | Product_8 vs Product_6 | Winner: Product_6 | 1021.9151193491632→1007.0051675246106 , 1045.621938050706→1060.5318898752585
USER User_2 | 8 vs 6 | Winner: 6 | 1000.9595389858767→986.8201956671203 , 1041.5468120902226→1055.686155408979
GLOBAL | Product_3 vs Product_8 | Winner: Product_3 | 949.407744115244→968.0361688551712 , 1007.0051675246106→988.3767427846833
USER User_2 | 3 vs 8 | Winner: 3 | 976.756839229815→993.2201443638317 , 986.8201956671203→970.3568905331036
GLOBAL | Product_7 vs Product_1 | Winner: Product_1 | 1019.639083936769→1003.0292992867131 , 1006.3913619579348→1023.0011466079907
USER User_2 | 7 vs 1 | Winner: 1 | 1013.0087063267304→994.9661023759056 , 968.4107806883686→986.4533846391934
GLOBAL | Product_2 vs Product_8 | Winner: Product_2 | 948.6993142879735→966.5186252174989 , 988.3767427846833→970.5574318551579
USER User_2 | 2 vs 8 | Winner: 2 | 966.9948330617598→983.1496566975313 , 970.3568905331036→954.2020668973321
GLOBAL | Product_3 vs Product_5 | Winner: Product_3 | 968.0361688551712→985.6637377230576 , 1003.501042350134→985.8734734822476
USER User_2 | 3 vs 5 | Winner: 3 | 993.2201443638317→1010.2730612934226 , 1016.1170356812871→999.0641187516961
GLOBAL | Product_5 vs Product_1 | Winner: Product_5 | 985.8734734822476→1003.5767872857483 , 1023.0011466079907→1005.29783280449
USER User_2 | 5 vs 1 | Winner: 5 | 999.0641187516961→1014.4836278831168 , 986.4533846391934→971.0338755077726
GLOBAL | Product_8 vs Product_4 | Winner: Product_4 | 970.5574318551579→956.130386850617 , 1004.8243959520759→1019.2514409566168
USER User_2 | 8 vs 4 | Winner: 4 | 954.2020668973321→941.0274971120891 , 1016.2054539359398→1029.3800237211826
